"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2008 - 2023"
"Location","2008__Under 200%","2008__200%+","2008__Total","2009__Under 200%","2009__200%+","2009__Total","2010__Under 200%","2010__200%+","2010__Total","2011__Under 200%","2011__200%+","2011__Total","2012__Under 200%","2012__200%+","2012__Total","2013__Under 200%","2013__200%+","2013__Total","2014__Under 200%","2014__200%+","2014__Total","2015__Under 200%","2015__200%+","2015__Total","2016__Under 200%","2016__200%+","2016__Total","2017__Under 200%","2017__200%+","2017__Total","2018__Under 200%","2018__200%+","2018__Total","2019__Under 200%","2019__200%+","2019__Total","2021__Under 200%","2021__200%+","2021__Total","2022__Under 200%","2022__200%+","2022__Total","2023__Under 200%","2023__200%+","2023__Total",Footnotes
"United States","91347600","203922100","295269800","97421800","200575900","297997800","103423500","197382700","300806200","106362800","196717900","303080600","106949600","198427000","305376600","106758000","200747500","307505500","106087800","204124500","310212200","103127800","209650100","312777900","99900200","214566200","314466400","98125300","218897200","317022500","96825600","221672900","318498500","92396500","227000000","319000000","92541600","230634200","323175700","91882300","232603700","324486000","92036700","234041900","326078600","1"
"Washington","1689700","4680800","6370500","1856800","4629800","6486600","1973900","4602000","6575900","2051600","4602800","6654400","2051200","4681700","6732900","2103200","4694700","6797800","2059600","4828000","6887600","2030800","4972000","7002800","1928600","5195500","7124100","1852100","5387700","7239800","1816000","5552000","7368000","1733600","5690200","7423900","1725200","5827000","7552200","1692100","5910200","7602300","1728500","5899000","7627500"
"West Virginia","675400","1089700","1765200","681900","1087000","1768900","711100","1087800","1799000","720200","1082000","1802200","710400","1091300","1801800","706100","1092100","1798200","716100","1075600","1791600","689600","1101900","1791500","696900","1084800","1781700","679200","1083000","1762100","674100","1078200","1752300","641700","1097400","1739000","631700","1101300","1733000","634900","1083900","1718800","621100","1092500","1713600"
"Wisconsin","1446500","4020900","5467500","1599700","3893000","5492700","1704900","3828500","5533400","1753400","3796500","5549900","1671600","3894500","5566100","1746400","3846100","5592500","1697800","3905800","5603600","1626700","3994200","5620900","1521500","4101800","5623300","1534200","4108700","5643000","1498400","4164500","5662800","1400900","4276200","5677100","1420000","4334500","5754400","1451100","4306500","5757500","1448500","4327100","5775600"
"Wyoming","136400","379700","516100","139800","386500","526300","154700","393600","548400","160200","391500","551600","170600","388400","559000","154300","413000","567300","164100","404300","568500","148400","420500","568900","164800","404600","569400","161300","402000","563300","149500","410800","560300","144900","417800","562700","154600","408900","563500","156800","408500","565300","163900","404100","568000"
"Puerto Rico","2857100","1044900","3902000","2874200","1048100","3922300","2685400","998600","3684000","2694800","976900","3671700","2663100","970900","3634000","2656500","925500","3582000","2579500","934500","3514000","2516300","927000","3443200","2453000","926000","3379100","2370700","934100","3304800","2281100","883300","3164400","2304500","859900","3164500","2278600","954400","3233000","2227800","962600","3190400","2169300","1007600","3176900"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic."
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $24,526 in 2023. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2023 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
